47,WORD,WORD_AGE,HIRAGANA,"Genki 1-1
Genki kanji 2-17",,二十歳,はたち,,hatachi,dwadzieścia lat,wiek,
48,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,お早う御座います,おはようございます,,Ohayou gozaimasu,Dzień dobry,rano (grzecznie),
49,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,こんにちわ,,Konnichiwa,Dzień dobry,po południu,
50,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,こんばんわ,,Konbanwa,Dobry wieczór,,
51,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,さようなら,,Sayounara,Do widzenia,,
52,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,お休みなさい,おやすみなさい,,Oyasuminasai,Dobranoc,,
53,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,有難う,ありがとう,,Arigatou,Dziękuję,,
54,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,有難う御座います,ありがとうございます,,Arigatou gozaimasu,Dziękuję,grzecznie,
55,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,すみません,,Sumimasen,Przepraszam,,
56,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,いいえ,,Iie,nie,,
57,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,行ってきます,いってきます,,Ittekimasu,Wychodzę,Idę i wrócę,
58,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,行ってらっしゃい,いってらっしゃい,,Itterasshai,Wróć,Idź i wróć,
59,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,ただいま,,tadaima,Już jestem,Po przybyciu do domu,
60,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,おかえりなさい,,Okaerinasai,Już jesteś,Będąc w domu,
61,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,いただきます,,Itadakimasu,Smacznego,Przed jedzeniem,
62,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,ごちそうさま,,Gochisousama,Smacznego,Po jedzeniu,
63,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,始めまして,はじめまして,,Hajimemashite,Przywitanie,Pierwsze spotkanie,
64,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,どうぞよろしく,,Douzo yoroshiku,Miło Cię spotkać,,
65,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,どうぞよろしくおねがいします,,Douzo yoroshiku onegai shimasu,Miło Cię spotkać,Kierowane do osoby wyżej postawionej,
66,WORD,UNKNOWN,HIRAGANA,"Genki 1-1
Genki kanji 1-5",,今,いま,,ima,teraz,,
67,WORD,UNKNOWN,HIRAGANA,Genki 1-1,,半,はん,,han,połowa,,
68,WORD,UNKNOWN,HIRAGANA,"Genki 1-1
Genki 1-2",,-,あの,,ano,um,,
69,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-7
Genki kanji 2-14",,英語,えいご,,eigo,język angielski,,
70,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,ええ,,ee,tak,mniej oficjalnie,
71,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-6",,学生,がくせい,,gakusei,uczeń,,
72,WORD,UNKNOWN,HIRAGANA,Genki 1-1,,語,ご,,go,... język,,
73,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-7",,高校,こうこう,,koukou,liceum,,
74,WORD,UNKNOWN,HIRAGANA,"Genki 1-1
Genki kanji 1-9",,午後,ごご,,gogo,pm,czas,
75,WORD,UNKNOWN,HIRAGANA,"Genki 1-1
Genki kanji 1-9",,午前,ごぜん,,gozen,am,czas,
76,WORD,UNKNOWN,HIRAGANA,Genki 1-1,,歳,さい,,sai,... lat,,
77,WORD,UNKNOWN,HIRAGANA,Genki 1-1,,-,さん,,san,... Pan,,
78,WORD,UNKNOWN,HIRAGANA,Genki 1-1,,時,じ,,ji,... godzina,,
79,WORD,UNKNOWN,HIRAGANA,Genki 1-1,,人,じん,,jin,... człowiek,,
80,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-6",,先生,せんせい,,sensei,nauczyciel,,
81,WORD,WORD_NOUN,HIRAGANA,Genki 1-1,,専門,せんもん,,senmon,specjalizacja,,
82,WORD,WORD_EXPRESSION,HIRAGANA,"Genki 1-1
Genki 1-3",,-,そうですね,,sou desu ne,to prawda,,
83,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-6",,大学,だいがく,,daigaku,uniwersytet,,
84,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-8
Genki kanji 1-9",,電話,でんわ,,denwa,telefon,,
85,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-9",,友だち,ともだち,,tomodachi,przyjaciel,,
86,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-9",,名前,なまえ,,namae,imię,,
87,WORD,WORD_ASK,HIRAGANA,"Genki 1-1
Genki kanji 1-8",,何,"なん
なに",,"nan
nani",co,,
88,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-4",,日本,にほん,,nihon,Japonia,,
89,WORD,UNKNOWN,HIRAGANA,Genki 1-1,,年生,ねんせい,,nensei,... student roku,,
90,WORD,WORD_GREETING,HIRAGANA,Genki 1-1,,-,はい,,hai,tak,oficjalnie,
91,WORD,WORD_NOUN,HIRAGANA,Genki 1-1,,番号,ばんごう,,bangou,numer,,
92,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 2-14",,留学生,りゅうがくせい,,ryuugakusei,uczeń międzynarodowy,,
93,WORD,WORD_PRONOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-5",,私,わたし,,watashi,ja,,
94,WORD,WORD_NOUN,KATAKANA,Genki 1-1,,-,アメリカ,,Amerika,Ameryka,,
95,WORD,WORD_NOUN,KATAKANA,Genki 1-1,,-,イギリス,,Igirisu,Wielka Brytania,,
96,WORD,WORD_NOUN,KATAKANA,"Genki 1-1
Genki 1-11",,-,オーストラリア,,oosutoraria,Australia,,
97,WORD,WORD_NOUN,HIRAGANA,Genki 1-1,,韓国,かんこく,,Kankoku,Korea,,
98,WORD,WORD_NOUN,KATAKANA,Genki 1-1,,-,スエーデン,,Sueeden,Szwecja,,
99,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-4
Genki kanji 1-6",,中国,ちゅうごく,,chuugoku,Chiny,,
100,WORD,WORD_NOUN,HIRAGANA,Genki 1-1,,科学,かがく,,kagaku,nauka,,
101,WORD,WORD_NOUN,HIRAGANA_KATAKANA,Genki 1-1,,アジア研究,アジアけんきゅう,,ajiakenkyuu,orientalistyka,,
102,WORD,WORD_NOUN,HIRAGANA,Genki 1-1,,経済,けいざい,,keizai,ekonomia,,
103,WORD,WORD_NOUN,HIRAGANA,Genki 1-1,,国際関係,こくさいかんけい,,kokusaikankei,stosunki międzynarodowe,,
