1,"387119
344899
2249871"
10,"348673
4710"
41,"362925
4749"
106,"349390
4731"
109,"350045
4734"
110,"502300
4735"
111,"1181734
4736"
127,"351397
4750"
130,"10544217
4804647
4753"
142,"3614661
215732
4765"
228,"8608834
529635
4844"
247,"600697
4862"
517,"349454
856052
123871
123868
3590724
123823
5114"
623,"1295668
5183
945288
121340"
866,"3148183
342138"
928,"732023
227063
10587979
201726
10587977"
1141,"350794
170572
170571
170570"
1182,"350046
329760
144844"
1183,"598678
80752"
1276,"387119
7043517
7043518
4702"
1277,"348964
344904
10786615
4703"
1282,"349023
4707
1596593"
1283,"348974
591118
4708"
1284,"524838
348796
6554258
4709
214821
214754
214752
3557602
195279"
1286,"351502
4711
157243
1050420"
1287,"591119
4712"
1288,"3545474
348657
187759
4713"
1290,"348788
4715"
1292,"349416
4717"
1294,"1627974
4720"
1295,"2405933
176879"
1296,"7859790
405903
176880"
1298,"3545471
75537"
1299,"3545467
4726"
1300,"7859791
4727"
1301,"3545461
4728"
1302,"350140
4729"
1303,"502301
4730"
1304,"3545453
4731"
1308,"2705289
502300
864109
234255
4735
179195"
1309,"1361838
4736"
1311,"3545478
11211436
4738"
1313,"12350993
12350992
12350997
12350999
12350995
12350998
4740"
1314,"12470065
4741"
1316,"532853
4743"
1317,"461064
4744
454420"
1318,"10544195
4745"
1324,"532864
2503987
4749"
1326,"348994
532870
4751
81591"
1328,"10544217
1596594
4804647
4753"
1329,"524941
216944
4754
182508
5955881
387691"
1334,"10544218
75497
4759"
1340,"502305
3614661
10176374
203825
4765"
1341,"526087
792686
4766
473878"
1368,"382596
349447
1596597
4789"
1387,"2405942
4806"
1391,"361874
600689
8555822
4810
8555812
137500
3480351"
1395,"348964
194057
387694
10786615
12483339
4814"
1414,"590802
4832"
1426,"529635
9732861
4844"
1432,"600695
4849
3449196"
1434,"4830490
348818
10575742
234083
12286475
231445
12482301
179014
178541
1661532
137571
13221009
13221008
4851
348822
162285
630415"
1442,"10545323
4858"
1445,"8178542
8178540
600697
4862"
1453,"3634722
4870"
1499,"3634739
176881
164184"
1504,"352981
2146146
3371910
227407
227406
4235760
227408
227405
2265632
3371912
4913
11529289
188057
188052
10951064
189942"
1505,"3634737
4914"
1506,"354678
875456
4915"
